ARCW,"ARC Group Worldwide, Inc.",2.38,45289726.86,n/a,n/a,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/arcw
ARDM,Aradigm Corporation,4.9,72330619.9,n/a,1996,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/ardm
AREX,Approach Resources Inc.,1.35,55137763.8,n/a,2007,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/arex
ARIA,"ARIAD Pharmaceuticals, Inc.",6.55,1245646794,n/a,1994,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/aria
ARII,"American Railcar Industries, Inc.",40.39,795014383.9,n/a,2006,Capital Goods,Railroads,http://www.nasdaq.com/symbol/arii
ARIS,"ARI Network Services, Inc.",4.41,76117605.48,n/a,1991,Technology,"Computer Software: Programming, Data Processing",http://www.nasdaq.com/symbol/aris
ARKR,Ark Restaurants Corp.,20.745,70909065.36,n/a,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/arkr
ARLP,"Alliance Resource Partners, L.P.",11.65,866469041.3,n/a,1999,Energy,Coal Mining,http://www.nasdaq.com/symbol/arlp
ARMH,ARM Holdings plc,43.98,4537810749,103178962,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/armh
ARNA,"Arena Pharmaceuticals, Inc.",2.02,490599781.6,n/a,2000,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/arna
AROW,Arrow Financial Corporation,26.21,339477869.7,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/arow
ARQL,"ArQule, Inc.",1.43,89989479.58,n/a,1996,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/arql
ARRS,ARRIS International plc,22,4294224484,n/a,n/a,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/arrs
ARRY,Array BioPharma Inc.,3.15,451511754.8,n/a,2000,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/arry
ARTNA,Artesian Resources Corporation,27.36,248032599.8,n/a,n/a,Public Utilities,Water Supply,http://www.nasdaq.com/symbol/artna
ARTW,"Art&#39;s-Way Manufacturing Co., Inc.",3.04,12345598.08,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/artw
ARTX,Arotech Corporation,2.69,71180749.05,n/a,1994,Miscellaneous,Industrial Machinery/Components,http://www.nasdaq.com/symbol/artx
ARWR,Arrowhead Research Corporation,5.25,313044369.8,n/a,n/a,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/arwr
ASBB,"ASB Bancorp, Inc.",25,99636875,n/a,2011,Finance,Savings Institutions,http://www.nasdaq.com/symbol/asbb
ASCMA,"Ascent Capital Group, Inc.",13.8,175098691.8,n/a,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/ascma
ASEI,"American Science and Engineering, Inc.",27.48,197040228.7,n/a,n/a,Health Care,Medical Electronics,http://www.nasdaq.com/symbol/asei
ASFI,"Asta Funding, Inc.",10,120970770,n/a,1995,Finance,Finance Companies,http://www.nasdaq.com/symbol/asfi
ASMB,"Assembly Biosciences, Inc.",5.05,86989593.1,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/asmb
ASML,ASML Holding N.V.,101.1,5817588808,57542916,1995,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/asml
ASNA,"Ascena Retail Group, Inc.",10.1,1959393395,n/a,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/asna
ASPS,Altisource Portfolio Solutions S.A.,24.83,467792829.9,n/a,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/asps
ASRV,AmeriServ Financial Inc.,3.01,56801141.11,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/asrv
ASRVP,AmeriServ Financial Inc.,28.4,0,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/asrvp
ASTC,Astrotech Corporation,2.08,43057399.84,n/a,n/a,Capital Goods,Military/Government/Technical,http://www.nasdaq.com/symbol/astc
ASTE,"Astec Industries, Inc.",45.57,1047580203,n/a,1986,Capital Goods,Construction/Ag Equipment/Trucks,http://www.nasdaq.com/symbol/aste
ASUR,Asure Software Inc,5.3,33345458.8,n/a,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/asur
ASYS,"Amtech Systems, Inc.",6.19,81520424.43,n/a,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/asys
ATAI,ATA Inc.,5.44,69004838.72,12684713,2008,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/atai
ATAX,"America First Multifamily Investors, L.P.",5.13,309097520.6,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/atax
ATEC,"Alphatec Holdings, Inc.",0.2299,23484338.34,n/a,2006,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/atec
ATHN,"athenahealth, Inc.",140.04,5455578051,n/a,2007,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/athn
